Company Name,Near term - Target Year search terms,Long term - Target Year search terms,Net-Zero Year search terms,variable,value,Near term - Target Year match,Long term - Target Year match,Net-Zero Year match
Burberry Limited,"['FY2023', 'FY2030', '2023', '2030']","['FY2040', '2040']","['FY2040', '2040']",4,Long-Term Targets Burberry commits to maintain at least 95% absolute scope 1 and 2 GHG reductions from FY2023 through FY2040 against a FY2017 base year,x,x,x
Burberry Limited,"['FY2023', 'FY2030', '2023', '2030']","['FY2040', '2040']","['FY2040', '2040']",5,Burberry also commits to reduce absolute scope 3 GHG emissions 90% by FY2040 from a FY2019 base year,,x,x
Burges Salmon LLP,['2030'],,,0,Burges Salmon LLP commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
Burges Salmon LLP,['2030'],,,1,Burges Salmon LLP also commits to reduce absolute scope 3 GHG emissions 50% within the same timeframe,,,
Buro Happold,['2025'],,,0,"Buro Happold commits to reduce absolute scope 1, 2 and 3 GHG emissions 21% by FY2025 from a FY2020 base year",x,,
Buro Happold,['2025'],,,1,Buro Happold also commits to increase annual sourcing of renewable electricity from 40% in FY2020 to 100% by FY2025,x,,
Buyer’s Edge Platform,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Buyer’s Edge Platform,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/Buyer’s Edge Platform scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
BİRİKİM MÜHENDİSLİK VE ENDÜSTRİYEL YÜKLENİM LTD ŞTİ,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
BİRİKİM MÜHENDİSLİK VE ENDÜSTRİYEL YÜKLENİM LTD ŞTİ,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ BİRİKİM MÜHENDİSLİK VE ENDÜSTRİYEL YÜKLENİM LTD ŞTİ commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
C&A,['2030'],,,0,Retail clothing company C&A commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year,x,,
C&A,['2030'],,,1,C&A also commits to reduce absolute scope 3 GHG emissions 30% by 2030 from a 2018 base year,x,,
C.T. POINT S.P.A.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
C.T. POINT S.P.A.,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ C.T. POINT S.P.A. commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
C.V.O. International,['2030'],,,0,"C.V.O. International NV commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"CAGLA, Inc.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"CAGLA, Inc.",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CAGLA, Inc",,,
"CAGLA, Inc.",['2030'],,,2,"commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
"CANGZHOU YONGXING FOUNDRY CO.,LTD",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"CANGZHOU YONGXING FOUNDRY CO.,LTD",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CANGZHOU YONGXING FOUNDRY CO.,LTD commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
CANPACK Group,['2030'],,,0,CANPACK Group commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2030 from a 2020 base year,x,,
CANPACK Group,['2030'],,,1,CANPCK Group also commits to increase annual sourcing of renewable electricity from 62% in 2020 to 100% by 2022 and through to 2030,x,,
CANPACK Group,['2030'],,,2,CANPACK Group further commits to reduce absolute scope 3 GHG emissions from purchased goods and services 12,,,
CANPACK Group,['2030'],,,3,3% by 2030 from a 2020 base year,x,,
CAPSUM,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CAPSUM,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CAPSUM commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
CARMILA,['2030'],,,0,"Carmila commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
CARTIER,"['2030', '2021']",,,0,"Cartier commits to reduce absolute scope 1, 2 and 3 GHG emissions 46% by 2030 from a 2019 base year",x,,
CARTIER,"['2030', '2021']",,,1,Cartier commits to increase annual sourcing of renewable electricity from 48% in  2019 to 100% by 2021 and commits to continue annually sourcing 100% renewable electricity through 2030,x,,
"CASIO COMPUTER CO., LTD.",['2030'],,,0,"CASIOCOMPUTERCO.,LTD. commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2030 from a 2018 base year",x,,
"CASIO COMPUTER CO., LTD.",['2030'],,,1,"CASIO COMPUTER CO.,LTD. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 30% over the same timeframe",,,
CBCL Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CBCL Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CBCL Limited commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
CBRE,['2035'],,,0,CBRE commits to reduce absolute scope 1 and 2 GHG emissions 68% by 2035 from a 2019 base year,x,,
CBRE,['2035'],,,1,CBRE commits to reduce scope 3 GHG emissions from the use of sold products managed on behalf of occupiers 79% per square foot and scope 3 GHG emissions from the use of sold products managed on behalf of owners 67% per square foot over the same timeframe,,,
CELLNEX TELECOM S.A.,"['2030', '2025']",,,0,Cellnex Telecom commits to reduce absolute scope 1 and 2 GHG emissions and scope 3 GHG emissions from fuel and energy-related activities 70% by 2030 from a 2020 base year,x,,
CELLNEX TELECOM S.A.,"['2030', '2025']",,,1,Cellnex Telecom commits to increase annual sourcing of renewable electricity from 0% in 2020 to 100% by 2025,x,,
CELLNEX TELECOM S.A.,"['2030', '2025']",,,2,Cellnex Telecom also commits to reduce absolute scope 3 emissions from purchased goods and services and capital goods GHG emissions 21% by 2025 from a 2020 base year,x,,
CEMAsys.com AS,['2030'],,,0,CEMAsys,,,
CEMAsys.com AS,['2030'],,,1,"com AS commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
CEMAsys.com AS,['2030'],,,2,"""",,,
"CEMEX, S.A.B de C.V.",['2030'],,,0,"CEMEX, S.A.B de C.V. commits to reduce gross scope 1 and 2 GHG emissions 25",,,
"CEMEX, S.A.B de C.V.",['2030'],,,1,1% per ton of cementitious material by 2030 from a 2020 base year,x,,
"CEMEX, S.A.B de C.V.",['2030'],,,2,"* Within this target, CEMEX, S.A.B. de C.V. commits to reduce gross scope 1 GHG emissions 22",,,
"CEMEX, S.A.B de C.V.",['2030'],,,3,7% per ton of cementitious material and scope 2 GHG emissions 58,,,
"CEMEX, S.A.B de C.V.",['2030'],,,4,1% per ton of cementitious material within the same timeframe,,,
"CEMEX, S.A.B de C.V.",['2030'],,,5,"* CEMEX, S.A.B de C.V. commits to reduce gross scope 3 GHG emissions from purchased goods and services 25",,,
"CEMEX, S.A.B de C.V.",['2030'],,,6,2% per ton of purchased clinker and cement by 2030 from a 2020 base year,x,,
"CEMEX, S.A.B de C.V.",['2030'],,,7,"CEMEX, S.A.B de C.V. also commitsto reduce scope 3 GHG emissions from fuel and energy related activities 40% per ton of purchased fuels, equivalent to a 25",,,
"CEMEX, S.A.B de C.V.",['2030'],,,8,4% absolute reduction within the same timeframe,,,
"CEMEX, S.A.B de C.V.",['2030'],,,9,"CEMEX, S.A.B de C.V. further commits to reduce scope 3 GHG emissions from upstream transportation and distribution 30% per ton of materials transported, equivalent to a 26",,,
"CEMEX, S.A.B de C.V.",['2030'],,,10,2% absolute reduction within the same timeframe,,,
"CEMEX, S.A.B de C.V.",['2030'],,,11,"Furthermore, CEMEX, S.A.B. de C.V. commits to reduce absolute scope 3 GHG emissions from the use of sold products 42% within the same timeframe",,,
"CEMEX, S.A.B de C.V.",['2030'],,,12,*Target boundary includes land-related emissions and removals from bioenergy feedstocks,,,
CES Consulting Engineers Salzgitter GmbH,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CES Consulting Engineers Salzgitter GmbH,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CES Consulting Engineers Salzgitter GmbH commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
CEWE Stiftung & Co. KGaA,['2025'],,,0,European photo service and online printing partner CEWE commits to reduce absolute scope 1 and scope 2 emissions 50% by 2025 from a 2015 base-year,x,,
CEWE Stiftung & Co. KGaA,['2025'],,,1,"In addition, the company commits to reduce absolute scope 3 emissions 25% within the same timeframe",,,
CEZ Group,['2030'],,,0,CEZ Group commits to reduce scope 1 and 2 GHG emissions 50% per MWh by 2030 from a 2019 base year,x,,
CEZ Group,['2030'],,,1,* CEZ Group also commits to reduce absolute scope 3 GHG emissions from use of sold products 30% within the same timeframe,,,
CEZ Group,['2030'],,,2,*The target boundary includes biogenic emissions and removals associated with the use of bioenergy,,,
CGI IT UK LTD,['2026'],,,0,CGI IT UK Limited commits to reduce absolute scope 1 and 2 GHG emissions 46% by FY2026 from a FY2019 base year,x,,
CGI IT UK LTD,['2026'],,,1,CGI IT UK Limited also commits to reduce absolute scope 3 GHG emissions from business travel 46% within the same timeframe,,,
CGI IT UK LTD,['2026'],,,2,"CGI IT UK Limited commits that 50% of its suppliers by spend covering purchased goods and services & capital goods, will have science-based targets by FY2026",x,,
CHANEL,['2030'],,,0,Chanel commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year,x,,
CHANEL,['2030'],,,1,"Chanel also commits to reduce scope 3 GHG emissions 40% per unit sold, which is a 10% reduction in absolute emissions by 2030 from a 2018 base year",x,,
CHS Agency,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CHS Agency,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CHS Agency commits to reduce absolute scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
"CHUBU TEPRO CO.,LTD",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"CHUBU TEPRO CO.,LTD",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CHUBU TEPRO CO.,LTD commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
CJCHT Groups,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CJCHT Groups,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/  CJCHT Groups commits to reduce 1,,,
CJCHT Groups,['2030'],,,2,"5 aligned: scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
CLIMACT,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CLIMACT,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/,,,
CLIMACT,['2030'],,,2,"CLIMACT commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
CLP Holdings Limited,['2030'],,,0,"The CLP Group commits to reduce scope 1, 2 and 3 GHG emissions from electricity sold 52% per kg CO2e/kWh by 2030 from a 2019 base year",x,,
CLP Holdings Limited,['2030'],,,1,"Within that target, the Group commits to reduce scope 1 and 2 GHG emissions from electricity generated 50% per kg CO2e/kWh over the same timeframe",,,
CLP Holdings Limited,['2030'],,,2, The Group also commits to reduce absolute scope 3 GHG emissions from use of sold products 28% by 2030 from a 2019 base year,x,,
CLP Holdings Limited,['2030'],,,3,* * The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
CLS Holdings PLC,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CLS Holdings PLC,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CLS Holdings commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
CMS Cameron McKenna Nabarro Olswang LLP,['2025'],,,0,"CMS Cameron McKenna Nabarro Olswang LLP commits to reduce absolute scope 1, 2 and 3 GHG emissions 30% by FY2025 from a FY2019 base year",x,,
CO2nnsulting Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CO2nnsulting Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CO2nnsulting Limited commits to reduce scope 1 and scope 2 GHG emissions 28% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
COBANA GmbH & Co. KG,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
COBANA GmbH & Co. KG,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ COBANA GmbH & Co,,,
COBANA GmbH & Co. KG,['2030'],,,2,"KG commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
COFRA Holding AG,['2030'],,,0,Headline target: COFRA Holding's portfolio target covers 100% of its total investment and lending activities by invested capital as of 2020,,,
COFRA Holding AG,['2030'],,,1,https://sciencebasedtargets.org/resources/files/Target-language-and-summary_COFRA-AG.docx,,,
COFRA Holding AG,['2030'],,,2,pdf,,,
COLAS Ltd,['2030'],,,0,COLAS Ltd commits to reduce absolute scope 1 and 2 GHG emissions 46,,,
COLAS Ltd,['2030'],,,1,2% by FY2030 from a FY2019 base year,x,,
COLAS Ltd,['2030'],,,2,COLAS Ltd also commits to reduce absolute scope 3 GHG emissions 46,,,
COLAS Ltd,['2030'],,,3,2% within the same timeframe,,,
COLAS SA,['2030'],,,0,COLAS SA commits to reduce absolute scope 1 and 2 GHG emissions 30% by FY2030 from a FY2019 base year,x,,
COLAS SA,['2030'],,,1,COLAS SA also commits to reduce absolute scope 3 GHG emissions 30% within the same timeframe,,,
CORDM,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CORDM,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/  CORDM commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
CPI Property Group S.A.,['2030'],,,0,"CPI Property Group S.A. commits to reduce scopes 1, 2 and 3 GHG emissions 32",,,
CPI Property Group S.A.,['2030'],,,1,4% per square metre of property portfolio by 2030 from a 2019 base year,x,,
CPI Property Group S.A.,['2030'],,,2,* CPI Property Group S.A. also commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2024,,,
CPI Property Group S.A.,['2030'],,,3,*The target boundary includes bioenergy emissions from bioenergy feedstocks,,,
CRH plc,['2030'],,,0,CRH commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2030 from a 2020 base year,x,,
CRH plc,['2030'],,,1,* *The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
CSX Corporation,['2029'],,,0,CSX commits to reduce scope 1 and 2 GHG emissions intensity 37% per million gross ton miles by 2029 from a 2014 base year,x,,
CTT - Correios de Portugal SA,['2025'],,,0,"National postal service of Portugal CTT - Correios de Portugal commits to reduce scope 1, 2 and 3 GHG emissions per letter and parcel delivery 20% by 2025, using a 2013 base year",x,,
CTT - Correios de Portugal SA,['2025'],,,1,"CTT-  Correios de Portugal also commits to reduce absolute scope 1, 2 and 3 emissions 30% by 2025, using a 2013 base year",x,,
CV De Bandt Advocaten – Avocats Attorneys Rechtsanwalte,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
CV De Bandt Advocaten – Avocats Attorneys Rechtsanwalte,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ CV De Bandt Advocaten – Avocats Attorneys Rechtsanwalte commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
CVS Health,['2030'],['2050'],['2050'],0,CVS Health,,,
CVS Health,['2030'],['2050'],['2050'],1,CVS Health commits to reach net-zero greenhouse gas emissions across the value chain by 2050,,x,x
CVS Health,['2030'],['2050'],['2050'],2,Near-term Target,,,
CVS Health,['2030'],['2050'],['2050'],3,"As part of this commitment, CVS commits to reduce absolute scope 1 and 2 GHG emissions 47% by 2030 from a 2019 base year",x,,
CVS Health,['2030'],['2050'],['2050'],4,CVS also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 47% by 2030 from a 2019 base year,x,,
CVS Health,['2030'],['2050'],['2050'],5,Long-Term Target,,,
CVS Health,['2030'],['2050'],['2050'],6,CVS commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2019 base year,,x,x
CVS Health,['2030'],['2050'],['2050'],7,"CVS also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, business travel, and downstream transportation 90% by 2050 from a 2019 base year",,x,x
Caesars Entertainment,"['2025', '2023']",,,0,American gaming corporation Caesars Entertainment commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2025 and 100% by 2050 from a 2011 base year,x,,
Caesars Entertainment,"['2025', '2023']",,,1,Caesars also commits to have 60% of suppliers by spend institute science‐based GHG reduction targets for their operations by 2023,x,,
Cafédirect plc,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Cafédirect plc,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Cafédirect plc commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Califia Farms,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Califia Farms,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Califia Farms commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Campbell Soup Company,"['FY2030', '2030']",,,0,Campbell Soup Company commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2020 base year,x,,
Campbell Soup Company,"['FY2030', '2030']",,,1,Campbell Soup Company also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and upstream transportation and distribution 25% within the same timeframe,,,
Camper S.L.,['2030'],['2050'],['2050'],0,Overall Net-Zero Target,,,
Camper S.L.,['2030'],['2050'],['2050'],1,Camper commits to reach net-zero greenhouse emissions across the value chain by 2050 from a 2019 base year,,x,x
Camper S.L.,['2030'],['2050'],['2050'],2,Near-Term Targets,,,
Camper S.L.,['2030'],['2050'],['2050'],3,Camper commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
Camper S.L.,['2030'],['2050'],['2050'],4,Camper also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 30% by 2030 from a 2019 base year,x,,
Camper S.L.,['2030'],['2050'],['2050'],5,Long-Term Targets,,,
Camper S.L.,['2030'],['2050'],['2050'],6,"Camper commits to reduce absolute scope 1, 2, and 3 GHG emissions 90% by 2050 from a 2019 base year",,x,x
Canada Post | Postes Canada,"['2030', '2025']",,,0,Canada Post commits to reduce absolute scope 1 and 2 GHG emissions by 30% by 2030 from a 2019 base year,x,,
Canada Post | Postes Canada,"['2030', '2025']",,,1,Canada Post commits to increase annual sourcing of renewable electricity from 60% in 2019 to 100% by 2030,x,,
Canada Post | Postes Canada,"['2030', '2025']",,,2,"Canada Post commits that 67% of its suppliers by spend and 100% of subsidiaries in scope 3 investments, will have science-based targets by 2025",x,,
Canadian National Railway Company,['2030'],,,0,CN commits to reduce scope 1 and 2 GHG emissions 43% per gross ton miles by 2030 from a 2019 base year*,x,,
Canadian National Railway Company,['2030'],,,1,CN commits to reduce scope 3 GHG emissions from fuel and energy related activities 40% per gross ton miles by 2030 from a 2019 base year,x,,
Canadian National Railway Company,['2030'],,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Canadian Pacific Railway Company,['2030'],,,0,"CP commits to reduce scope 1, 2 and 3 locomotive well-to-wheel GHG emissions 38",,,
Canadian Pacific Railway Company,['2030'],,,1,3% per revenue ton-mile by 2030 from a 2019 base year,x,,
Canary Marketing,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Canary Marketing,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Canary Marketing commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Canary Wharf Group Plc,"['2030', '2025']",,,0,"Canary Wharf Group Plc commits to reduce absolute scope 1, 2 and 3 GHG emissions from downstream leased assets 65% by 2030 from a 2017 base year",x,,
Canary Wharf Group Plc,"['2030', '2025']",,,1,Canary Wharf Group Plc commits that 60% of its suppliers by emissions covering purchased goods & services will have science-based targets by 2025,x,,
Capgemini SE,['2030'],['2040'],['2040'],0,Overall Net-Zero Target,,,
Capgemini SE,['2030'],['2040'],['2040'],1,Company Capgemini SE commits to reach net-zero greenhouse gas emissions across the value chain by 2040 from a 2019 base year,,x,x
Capgemini SE,['2030'],['2040'],['2040'],2,Near-Term Targets,,,
Capgemini SE,['2030'],['2040'],['2040'],3,Capgemini SE commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2030 from a 2019 base year,x,,
Capgemini SE,['2030'],['2040'],['2040'],4,Capgemini SE also commits to increase annual sourcing of renewable electricity from 38% in 2019 to 100% by 2025 and to maintain 100% renewable electricity through 2030,x,,
Capgemini SE,['2030'],['2040'],['2040'],5,Capgemini SE commits to reduce absolute scope 3 purchased goods and services GHG emissions 50% by 2030 from a 2019 base year,x,,
Capgemini SE,['2030'],['2040'],['2040'],6,Capgemini SE further commits to reduce scope 3 business travel and employee commuting GHG emissions 55% per employee within the same timeframe,,,
Capgemini SE,['2030'],['2040'],['2040'],7,Long-Term Targets,,,
Capgemini SE,['2030'],['2040'],['2040'],8,Capgemini SE commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2040 from a 2019 base year,,x,x
Capgemini SE,['2030'],['2040'],['2040'],9,Capgemini SE also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe,,,
Capita Plc,"['2030', '2025']",,,0,"Capita commits to reduce absolute scope 1, 2 and 3 (business travel) GHG emissions 46% by 2030 from a 2019 base year",x,,
Capita Plc,"['2030', '2025']",,,1,Capita commits that 50% of its suppliers by spend covering purchased goods and services and capital goods will have science-based targets by 2025,x,,
CapitaLand,['2030'],,,0,CapitaLand commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year,x,,
CapitaLand,['2030'],,,1,CapitaLand also commits to reduce scope 3 GHG emissions,,,
Capital & Counties Properties PLC,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Capital & Counties Properties PLC,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Capital & Counties Properties PLC commits to reduce  scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Carbon Free Consulting Corporation,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Carbon Free Consulting Corporation,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Carbon Free Consulting Corporation commits to reduce WB2C aligned: scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Carbon Intelligence,['2030'],,,0,Energy and carbon management company Carbon Intelligence commits to maintain zero absolute Scope 1 and 2 GHG emissions by not consuming fuels and continuing to use electricity from renewable sources through 2030,x,,
Carbon Intelligence,['2030'],,,1,Carbon Intelligence commits to reduce Scope 3 GHG emissions from purchased goods and services by 65% per million GBP (British pounds) added value and by 40% from business travel per passenger-km by 2030 from a 2017 base year,x,,
Carbon Intelligence,['2030'],,,2,Carbon Intelligence commits that 30% of its suppliers by spend covering purchased goods & services will set science-based Scope 1 and 2 targets by 2030,x,,
Cardo Systems Ltd.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Cardo Systems Ltd.,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Cardo Systems Ltd,,,
Cardo Systems Ltd.,['2030'],,,2,"commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
"Cargill, Inc.","['2025', '2030']",,,0,Producers and distributors of agricultural products Cargill commits to reduce absolute Scope 1 & 2 GHG emissions 10% by 2025 from a 2017 base-year,x,,
"Cargill, Inc.","['2025', '2030']",,,1,Cargill commits to reduce Scope 3 GHG emissions 30% per ton of product sold by 2030 from a 2017 base-year,x,,
"Cargill, Inc.","['2025', '2030']",,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Cargotec,['2030'],,,0,"Cargotec commits to reduce absolute scope 1, 2 and 3 GHG emissions 50% by 2030 from a 2019 base year",x,,
Cargotec,['2030'],,,1,**The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Carlsberg Group,"['2022', '2030']",,,0,"Global brewer Carlsberg commits to achieving zero GHG emissions from its breweries by 2030, from a 2015 base year, which is equivalent to reducing total scope 1 and 2 GHG emissions 92%",x,,
Carlsberg Group,"['2022', '2030']",,,1,"This is supported by a 2022 target to reduce the GHG emissions from breweries by 50%, which is equivalent to reducing total scope 1 and 2 emissions by 46%",x,,
Carlsberg Group,"['2022', '2030']",,,2,"Carlsberg also commits to reduce its beer-in-hand value chain GHG emissions (scope 1, 2 and 3) 30% by 2030, from a 2015 base year, with a 2022 target to reduce GHG emissions by 15%",x,,
Carmo A/S,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Carmo A/S,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Carmo A/S commits to reduce  scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Carnegie Fonder AB,['2025'],,,0,Carnegie Fonder’s portfolio targets cover 84% of its total investment and lending activities as of 2020,,,
Carnegie Fonder AB,['2025'],,,1,Full target: https://sciencebasedtargets.org/resources/files/Target-language-and-summary_Carnegie-Fonder,,,
Carnegie Fonder AB,['2025'],,,2,docx,,,
Carnegie Fonder AB,['2025'],,,3,pdf,,,
Carrefour,['2030'],,,0,Carrefour Group commits to reduce absolute scope 1 and 2 GHG emissions of 30% by 2030 and 55% by 2040 from a 2019 base year,x,,
Carrefour,['2030'],,,1,Carrefour Group also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products of 29% by 2030 from a 2019 base year,x,,
Cartaseta AG,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
